Alano: Alan
Arkama: Arkham
Arkamo: Arkham
Averilo: Averill
Bodlero: Baudelaire
Boltona: Bolton
Boltono: Bolton
Bostona: Boston
Bostono: Boston
Buko: Buck
Ĉapman: Chapman
Clapham-Lee: Clapham-Lee
Éloi: Éloi
Eriko: Eric
Flandrio: Flanders
Halsej: Halsey
Harlemo: Harlem
Hekel: Haeckel
Heliogabalo: Elegabalus
Herberto: Herbert
Herberton: Herbert
Hill: Hill
Krejn: Crane
Kristkirko: Christchurch
Levit: Levitt
Luiso: Louis
Moreland: Moreland
Miskatonika: Miskatonic
Miskatoniko: Miskatonic
Obrijen: O'Brien
Otavo: Ottawa
Robinson: Robinson
Roberto: Roberto
Ronaldo: Ronald
Seftono: Sefton
Sumner: Sumner
Tartaro: Tartarus
Ŭest: West
